"","x"
"ANO0116_24",3
"ANO0146_62",3
"ANO0436_66",3
"ANO0015_35",2
"ANO0016_11",2
"ANO0016_13",2
"ANO0016_15",2
"ANO0016_22",2
"ANO0016_24",2
"ANO0016_26",2
"ANO0016_31",2
"ANO0016_33",2
"ANO0016_35",2
"ANO0016_42",2
"ANO0016_44",2
"ANO0016_46",2
"ANO0016_51",2
"ANO0016_53",2
"ANO0016_55",2
"ANO0016_62",2
"ANO0016_64",2
"ANO0016_66",2
"ANO0041_11",2
"ANO0041_13",2
"ANO0041_15",2
"ANO0041_22",2
"ANO0041_24",2
"ANO0041_26",2
"ANO0041_31",2
"ANO0041_33",2
"ANO0041_35",2
"ANO0041_42",2
"ANO0041_44",2
"ANO0041_46",2
"ANO0041_51",2
"ANO0041_53",2
"ANO0041_55",2
"ANO0041_62",2
"ANO0041_64",2
"ANO0041_66",2
"ANO0057_13",2
"ANO0057_35",2
"ANO0072_62",2
"ANO0076_11",2
"ANO0076_13",2
"ANO0076_15",2
"ANO0076_22",2
"ANO0076_24",2
"ANO0076_26",2
"ANO0076_31",2
"ANO0076_33",2
"ANO0076_35",2
"ANO0076_42",2
"ANO0076_44",2
"ANO0076_46",2
"ANO0076_51",2
"ANO0076_53",2
"ANO0076_55",2
"ANO0076_62",2
"ANO0076_64",2
"ANO0076_66",2
"ANO0080_11",2
"ANO0080_13",2
"ANO0080_15",2
"ANO0080_22",2
"ANO0080_24",2
"ANO0080_26",2
"ANO0080_31",2
"ANO0080_33",2
"ANO0080_35",2
"ANO0080_42",2
"ANO0080_44",2
"ANO0080_46",2
"ANO0080_51",2
"ANO0080_53",2
"ANO0080_55",2
"ANO0080_62",2
"ANO0080_64",2
"ANO0080_66",2
"ANO0084_51",2
"ANO0084_62",2
"ANO0099_11",2
"ANO0099_13",2
"ANO0099_15",2
"ANO0099_22",2
"ANO0099_24",2
"ANO0099_26",2
"ANO0099_31",2
"ANO0099_33",2
"ANO0099_35",2
"ANO0099_42",2
"ANO0099_44",2
"ANO0099_46",2
"ANO0099_51",2
"ANO0099_53",2
"ANO0099_55",2
"ANO0099_62",2
"ANO0099_64",2
"ANO0099_66",2
"ANO0105_42",2
"ANO0115_11",2
"ANO0115_13",2
"ANO0115_15",2
"ANO0115_22",2
"ANO0115_24",2
"ANO0115_26",2
"ANO0115_31",2
"ANO0115_33",2
"ANO0115_35",2
"ANO0115_42",2
"ANO0115_44",2
"ANO0115_46",2
"ANO0115_51",2
"ANO0115_53",2
"ANO0115_55",2
"ANO0115_62",2
"ANO0115_64",2
"ANO0115_66",2
"ANO0116_11",2
"ANO0116_15",2
"ANO0116_22",2
"ANO0116_26",2
"ANO0116_31",2
"ANO0116_33",2
"ANO0116_35",2
"ANO0116_42",2
"ANO0116_44",2
"ANO0116_46",2
"ANO0116_51",2
"ANO0116_53",2
"ANO0116_55",2
"ANO0116_62",2
"ANO0116_64",2
"ANO0116_66",2
"ANO0117_11",2
"ANO0117_13",2
"ANO0117_15",2
"ANO0117_22",2
"ANO0117_24",2
"ANO0117_26",2
"ANO0117_31",2
"ANO0117_33",2
"ANO0117_35",2
"ANO0117_42",2
"ANO0117_44",2
"ANO0117_46",2
"ANO0117_51",2
"ANO0117_53",2
"ANO0117_55",2
"ANO0117_62",2
"ANO0117_64",2
"ANO0117_66",2
"ANO0129_51",2
"ANO0129_62",2
"ANO0146_11",2
"ANO0146_13",2
"ANO0146_15",2
"ANO0146_22",2
"ANO0146_24",2
"ANO0146_26",2
"ANO0146_31",2
"ANO0146_33",2
"ANO0146_35",2
"ANO0146_44",2
"ANO0146_46",2
"ANO0146_51",2
"ANO0146_53",2
"ANO0146_55",2
"ANO0146_64",2
"ANO0146_66",2
"ANO0159_55",2
"ANO0178_11",2
"ANO0178_13",2
"ANO0178_15",2
"ANO0178_22",2
"ANO0178_24",2
"ANO0178_26",2
"ANO0178_31",2
"ANO0178_33",2
"ANO0178_35",2
"ANO0178_42",2
"ANO0178_44",2
"ANO0178_46",2
"ANO0178_51",2
"ANO0178_53",2
"ANO0178_55",2
"ANO0178_62",2
"ANO0178_64",2
"ANO0178_66",2
"ANO0241_22",2
"ANO0268_22",2
"ANO0283_11",2
"ANO0283_13",2
"ANO0283_15",2
"ANO0283_22",2
"ANO0283_24",2
"ANO0283_26",2
"ANO0283_31",2
"ANO0283_33",2
"ANO0283_35",2
"ANO0283_42",2
"ANO0283_44",2
"ANO0283_46",2
"ANO0283_51",2
"ANO0283_53",2
"ANO0283_55",2
"ANO0283_62",2
"ANO0283_64",2
"ANO0283_66",2
"ANO0290_55",2
"ANO0311_11",2
"ANO0311_13",2
"ANO0311_15",2
"ANO0311_22",2
"ANO0311_24",2
"ANO0311_26",2
"ANO0311_31",2
"ANO0311_33",2
"ANO0311_35",2
"ANO0311_42",2
"ANO0311_44",2
"ANO0311_51",2
"ANO0311_53",2
"ANO0311_55",2
"ANO0311_62",2
"ANO0311_64",2
"ANO0318_33",2
"ANO0363_24",2
"ANO0398_11",2
"ANO0398_13",2
"ANO0398_15",2
"ANO0398_22",2
"ANO0398_24",2
"ANO0398_26",2
"ANO0398_31",2
"ANO0398_33",2
"ANO0398_35",2
"ANO0398_42",2
"ANO0398_44",2
"ANO0398_46",2
"ANO0398_51",2
"ANO0398_53",2
"ANO0398_55",2
"ANO0398_62",2
"ANO0398_64",2
"ANO0398_66",2
"ANO0411_31",2
"ANO0413_15",2
"ANO0518_64",2
"ANO0629_62",2
"ANO0845_15",2
"ANO0845_24",2
"ANO0845_26",2
"ANO0845_33",2
"ANO0845_35",2
"ANO0911_11",2
"ANO0911_13",2
"ANO0911_15",2
"ANO0911_22",2
"ANO0911_24",2
"ANO0911_26",2
"ANO0911_31",2
"ANO0911_33",2
"ANO0911_35",2
"ANO0911_42",2
"ANO0911_44",2
"ANO0911_46",2
"ANO0911_51",2
"ANO0911_53",2
"ANO0911_55",2
"ANO0911_62",2
"ANO0911_64",2
"ANO0911_66",2
"ANO0912_35",2
"ANO0931_55",2
"ANO0947_53",2
"ANO1012_31",2
"ANO1052_55",2
"ANO1196_11",2
"ANO1196_33",2
"ANO1197_42",2
"ANO1198_33",2
"ANO1205_13",2
"ANO1272_53",2
"ANO1300_35",2
"ANO1301_64",2
"ANO1332_22",2
"ANO1332_53",2
"ANO1332_55",2
"ANO1332_64",2
"ANO1478_22",2
"ANO1489_11",2
"ANO1489_13",2
"ANO1489_15",2
"ANO1489_22",2
"ANO1489_24",2
"ANO1489_26",2
"ANO1489_31",2
"ANO1489_33",2
"ANO1489_35",2
"ANO1489_42",2
"ANO1489_44",2
"ANO1489_46",2
"ANO1489_51",2
"ANO1489_53",2
"ANO1489_55",2
"ANO1489_62",2
"ANO1489_64",2
"ANO1489_66",2
"ANO1496_31",2
"ANO1496_33",2
"ANO1496_51",2
"ANO1496_53",2
"ANO1496_62",2
"ANO1502_11",2
"ANO1503_33",2
"ANO1541_26",2
"ANO1541_35",2
"ANO1541_44",2
"ANO1541_46",2
"ANO1541_53",2
"ANO1541_55",2
"ANO1541_64",2
"ANO1541_66",2
"ANO1550_64",2
"ANO0003_11",1
"ANO0003_13",1
"ANO0003_15",1
"ANO0003_22",1
"(Other)",15757
