"";"M020_kode3";"kartleggingsenhet_250m2";"Norge_area"
"1";"F";"F";200
"2";"F1-C-1";"F1-C-1";250
"3";"F8-C-1";"F8-C-1";100
"4";"I1";"I1";27140
"5";"I1-C-1";"I1-C-1";6100
"6";"L";"L";125
"7";"L16-C-3";"L16-C-3";100
"8";"L4-1";"L4-1";845
"9";"L4-C-1";"L4-C-1";175
"10";"L4-C-2";"L4-C-2";250
"11";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-1";28820
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-11";2565
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-2";29270
"14";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-3";2555
"15";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-4";7180
"16";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";"T1-C-5";5112,5
"17";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";"T1-C-6";1750
"18";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/03";"T1-C-8";662,5
"19";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";"T2-C-1";37900
"20";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";"T2-C-2";3400
"21";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";"T2-C-3";1112,5
"22";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";"T3-C-1";78247,5
"23";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";"T3-C-13";10575
"24";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";"T3-C-4";29077,5
"25";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";"T3-C-10";1000
"26";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";"T3-C-14";9242,5
"27";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";"T3-C-2";288585
"28";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";"T3-C-3";59217,5
"29";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";"T3-C-5";38527,5
"30";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";"T3-C-6";12517,5
"31";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";"T3-C-11";4570
"32";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";"T3-C-12";2407,5
"33";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01/02";"T22-C-1";8860
"34";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01/02";"T22-C-2";2025
"35";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";"T22-C-3";4670
"36";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";"T22-C-4";2290
"37";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";"T4-C-1";411482,5
"38";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";"T4-C-5";309432,5
"39";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/02/05";"T4-C-10";1622,5
"40";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/04";"T4-C-9";81460
"41";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";"T4-C-17";16792,5
"42";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";"T4-C-2";131050
"43";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";"T4-C-6";29635
"44";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-18";35945
"45";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-19";4000
"46";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-4";2870
"47";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";"T4-C-8";4075
"48";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";"T4-C-13";17817,5
"49";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";"T4-C-14";600
"50";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";"T4-C-16";150
"51";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";"T6-C-1";295
"52";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";"T5-C-5";250
"53";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05";"T29-C-5";220
"54";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05/09";"T29-C-1";87,5
"55";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";"T12-C-2";487,5
"56";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01/03";"T12-C-1";100
"57";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";"T7-C-1";11620
"58";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";"T7-C-2";20810
"59";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01/02";"T7-C-4";25677,5
"60";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";"T7-C-12";687,5
"61";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";"T7-C-3";16970
"62";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";"T7-C-14";175
"63";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";"T7-C-8";2112,5
"64";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";"T7-C-9";1350
"65";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";"T7-C-5";4262,5
"66";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";"T7-C-10";937,5
"67";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01/04";"T13-C-3";425
"68";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02/05";"T13-C-6";250
"69";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";"T13-C-10";625
"70";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";"T13-C-11";1050
"71";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";"T13-C-12";100
"72";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";"T13-C-13";250
"73";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";"T13-C-14";250
"74";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";"T13-C-1";21520
"75";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07/08";"T13-C-2";6982,5
"76";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";"T13-C-4";4760
"77";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";"T13-C-5";2735
"78";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";"T16-C-1";877,5
"79";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";"T16-C-2";1337,5
"80";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";"T16-C-5";1325
"81";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";"T16-C-3";450
"82";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";"T16-C-4";587,5
"83";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";"T16-C-6";237,5
"84";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01/03";"T15-C-1";250
"85";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01/02";"T14-C-1";36827,5
"86";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";"T14-C-2";2970
"87";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02/04";"T21-C-3";175
"88";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-01/02";"T17-C-2";150
"89";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01/02";"T18-C-1";1267,5
"90";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";"T18-C-4";225
"91";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01/02";"T19-C-1";4500
"92";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02/03";"T19-C-2";225
"93";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01/02";"T20-C-1";500
"94";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";"T4-C-11";362,5
"95";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";"T30-C-1";375
"96";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";"T30-C-2";1137,5
"97";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";"T30-C-3";250
"98";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-04/05/10/11";"T29-C-2";362,5
"99";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06/08";"T27-C-2";23107,5
"100";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06/08";"T27-C-6";10877,5
"101";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07/08";"T27-C-4";3325
"102";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07/08";"T27-C-7";1762,5
"103";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";"T27-C-1";71495
"104";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";"T27-C-3";1487,5
"105";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";"T27-C-5";1707,5
"106";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";"T26-C-1";1495
"107";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";"T26-C-2";475
"108";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";"T26-C-3";7075
"109";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";"T26-C-4";250
"110";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";"T31-C-1";15515
"111";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";"T31-C-13";747,5
"112";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";"T31-C-4";5685
"113";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";"T31-C-10";175
"114";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";"T31-C-14";225
"115";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";"T31-C-2";40675
"116";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";"T31-C-3";3867,5
"117";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";"T31-C-5";5220
"118";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01/04";"T32-C-1";6080
"119";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/03/05/06";"T32-C-15";500
"120";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/03/05/06";"T32-C-5";3200
"121";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/05";"T32-C-13";80
"122";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/05";"T32-C-3";12672,5
"123";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-04";"T32-C-2";2012,5
"124";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";"T32-C-14";100
"125";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";"T32-C-4";8920
"126";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";"T32-C-6";2412,5
"127";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05/06";"T32-C-20";2087,5
"128";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05/06";"T32-C-21";187,5
"129";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";"T34-C-1";4310
"130";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";"T34-C-2";3775
"131";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-02";"T34-C-4";612,5
"132";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";"V1-C-1";90650
"133";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";"V1-C-2";51081,25
"134";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";"V1-C-5";108977,5
"135";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";"V1-C-6";54605
"136";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";"V1-C-3";20575
"137";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";"V1-C-7";13780
"138";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";"V1-C-8";1852,5
"139";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";"V2-C-1";33637,5
"140";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";"V2-C-2";9942,5
"141";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";"V2-C-3";2435
"142";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";"V3-C-1";20470
"143";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";"V4-C-4";137,5
"144";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";"V4-C-1";587,5
"145";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";"V4-C-2";400
"146";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";"V6-C-1";2530
"147";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";"V6-C-2";375
"148";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";"V6-C-5";137,5
"149";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";"V6-C-7";487,5
"150";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03/04";"V6-C-9";187,5
"151";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";"V6-C-4";450
"152";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";"V3-C-2";30230
"153";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";"V8-C-1";225
"154";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";"V8-C-2";212,5
"155";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";"V9-C-1";3105
"156";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01/02";"V9-C-2";672,5
"157";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";"V10-C-1";975
"158";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01/02";"V10-C-2";250
"159";"O3-C-1";"O3-C-1";250
"160";"T1";"T1";24330
"161";"T1-C-10";"T1-C-10";487,5
"162";"T1-C-12";"T1-C-12";225
"163";"T1-C-9";"T1-C-9";1337,5
"164";"T12";"T12";250
"165";"T13";"T13";7062,5
"166";"T14";"T14";1900
"167";"T16-C-7";"T16-C-7";725
"168";"T17-C-1";"T17-C-1";145
"169";"T18";"T18";187,5
"170";"T19";"T19";1725
"171";"T2";"T2";6462,5
"172";"T2-C-5";"T2-C-5";150
"173";"T22";"T22";225
"174";"T25-C-2";"T25-C-2";512,5
"175";"T26";"T26";425
"176";"T27";"T27";3987,5
"177";"T29";"T29";250
"178";"T3";"T3";21812,5
"179";"T3-C-7";"T3-C-7";10602,5
"180";"T3-C-8";"T3-C-8";15692,5
"181";"T3-C-9";"T3-C-9";7307,5
"182";"T31";"T31";500
"183";"T31-C-7";"T31-C-7";2725
"184";"T31-C-8";"T31-C-8";375
"185";"T32";"T32";1962,5
"186";"T32-C-10";"T32-C-10";1225
"187";"T32-C-9";"T32-C-9";3280
"188";"T34";"T34";1137,5
"189";"T35";"T35";3112,5
"190";"T35-C-1";"T35-C-1";9727,5
"191";"T35-C-2";"T35-C-2";12002,5
"192";"T35-C-3";"T35-C-3";250
"193";"T36-C-1";"T36-C-1";8312,5
"194";"T36-C-2";"T36-C-2";212,5
"195";"T36-C-3";"T36-C-3";1662,5
"196";"T37";"T37";162,5
"197";"T37-C-2";"T37-C-2";5725
"198";"T37-C-3";"T37-C-3";250
"199";"T38";"T38";1500
"200";"T38-C-1";"T38-C-1";19232,5
"201";"T39";"T39";712,5
"202";"T39-C-1";"T39-C-1";350
"203";"T39-C-2";"T39-C-2";400
"204";"T39-C-3";"T39-C-3";887,5
"205";"T39-C-4";"T39-C-4";3812,5
"206";"T4";"T4";42287,5
"207";"T4-C-3";"T4-C-3";33522,5
"208";"T4-C-7";"T4-C-7";6690
"209";"T40";"T40";500
"210";"T40-C-1";"T40-C-1";1850
"211";"T41";"T41";1250
"212";"T41-C-1";"T41-C-1";7400
"213";"T42";"T42";245
"214";"T43";"T43";3000
"215";"T43-C-1";"T43-C-1";6032,5
"216";"T44";"T44";14062,5
"217";"T44-C-1";"T44-C-1";15057,5
"218";"T45";"T45";2575
"219";"T45-C-1";"T45-C-1";12087,5
"220";"T45-C-2";"T45-C-2";9650
"221";"T45-C-3";"T45-C-3";10537,5
"222";"T6";"T6";1150
"223";"T7";"T7";2575
"224";"T7-C-11";"T7-C-11";825
"225";"T7-C-13";"T7-C-13";1285
"226";"T7-C-6";"T7-C-6";7327,5
"227";"T7-C-7";"T7-C-7";3617,5
"228";"V1";"V1";455
"229";"V1-C-4";"V1-C-4";8390
"230";"V11-C-1";"V11-C-1";250
"231";"V12";"V12";225
"232";"V12-C-1";"V12-C-1";4975
"233";"V12-C-2";"V12-C-2";400
"234";"V12-C-3";"V12-C-3";500
"235";"V2";"V2";587,5
"236";"V3";"V3";875
"237";"V6";"V6";187,5
"238";"V6-C-3";"V6-C-3";1985
"239";"V9-C-3";"V9-C-3";2357,5
