"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1"
"1";"F";200;200;NA;NA;100;100;NA
"2";"F1-C-1";250;NA;250;NA;NA;250;NA
"3";"F8-C-1";100;100;NA;NA;NA;100;NA
"4";"I1";27140;4250;22890;NA;NA;27140;NA
"5";"I1-C-1";6100;250;5600;250;250;5850;NA
"6";"L";125;NA;NA;125;125;NA;NA
"7";"L16-C-3";100;NA;100;NA;NA;100;NA
"8";"L4-1";845;520;325;NA;NA;175;670
"9";"L4-C-1";175;175;NA;NA;NA;175;NA
"10";"L4-C-2";250;250;NA;NA;NA;250;NA
"11";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";70390;23625;37077,5;9687,5;9162,5;61127,5;100
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";6862,5;650;6112,5;100;NA;6412,5;450
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/03";662,5;212,5;450;NA;NA;662,5;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";41300;15790;6650;18860;15067,5;24982,5;1250
"15";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";1112,5;862,5;250;NA;425;687,5;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";78247,5;36302,5;35145;6800;9712,5;61480;7055
"17";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";39652,5;16717,5;22472,5;462,5;1350;34985;3317,5
"18";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";10242,5;4042,5;6200;NA;NA;8942,5;1300
"19";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";347802,5;145760;189477,5;12565;13422,5;285950;48430
"20";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";51045;11585;39035;425;250;47632,5;3162,5
"21";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";6977,5;1817,5;5160;NA;NA;5665;1312,5
"22";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01/02";10885;387,5;10497,5;NA;NA;10372,5;512,5
"23";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";6960;130;6830;NA;NA;6795;165
"24";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";720915;451285;19902,5;249727,5;32712,5;616435;71767,5
"25";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/02/05";1622,5;1495;NA;127,5;NA;1472,5;150
"26";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/04";81460;63110;1425;16925;1395;49112,5;30952,5
"27";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";177477,5;113995;11712,5;51770;9522,5;161542,5;6412,5
"28";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";46890;32472,5;7830;6587,5;250;43940;2700
"29";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";17817,5;12685;425;4707,5;NA;10707,5;7110
"30";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";600;350;NA;250;NA;600;NA
"31";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";150;NA;NA;150;NA;150;NA
"32";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";295;295;NA;NA;NA;295;NA
"33";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";250;250;NA;NA;NA;250;NA
"34";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05";220;220;NA;NA;NA;220;NA
"35";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05/09";87,5;87,5;NA;NA;NA;87,5;NA
"36";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";487,5;412,5;75;NA;NA;487,5;NA
"37";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01/03";100;100;NA;NA;NA;100;NA
"38";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";32430;5632,5;26497,5;300;512,5;31917,5;NA
"39";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01/02";25677,5;2220;22995;462,5;912,5;24015;750
"40";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";17657,5;1462,5;16195;NA;NA;17095;562,5
"41";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";3637,5;137,5;3500;NA;NA;3400;237,5
"42";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";4262,5;712,5;3550;NA;NA;4262,5;NA
"43";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";937,5;NA;937,5;NA;NA;737,5;200
"44";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01/04";425;175;250;NA;NA;425;NA
"45";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02/05";250;NA;250;NA;NA;250;NA
"46";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";1675;425;1250;NA;NA;1675;NA
"47";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";350;100;250;NA;NA;250;100
"48";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";250;NA;250;NA;NA;250;NA
"49";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";21520;6022,5;13197,5;2300;1037,5;20232,5;250
"50";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07/08";6982,5;1990;4550;442,5;150;6832,5;NA
"51";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";7495;1867,5;5215;412,5;250;7245;NA
"52";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";877,5;250;377,5;250;NA;877,5;NA
"53";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";2662,5;1400;1262,5;NA;NA;2662,5;NA
"54";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";1275;837,5;200;237,5;237,5;1037,5;NA
"55";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01/03";250;NA;250;NA;NA;250;NA
"56";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01/02";36827,5;9817,5;26405;605;NA;35190;1637,5
"57";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";2970;550;2420;NA;NA;2520;450
"58";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02/04";175;175;NA;NA;NA;175;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-01/02";150;NA;NA;150;150;NA;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01/02";1267,5;212,5;1055;NA;NA;1267,5;NA
"61";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";225;NA;225;NA;NA;225;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01/02";4500;150;4350;NA;NA;4500;NA
"63";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02/03";225;NA;225;NA;NA;225;NA
"64";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01/02";500;NA;500;NA;NA;500;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";362,5;362,5;NA;NA;NA;362,5;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";1762,5;625;390;747,5;NA;1762,5;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-04/05/10/11";362,5;362,5;NA;NA;NA;362,5;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06/08";33985;1630;32355;NA;NA;33835;150
"69";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07/08";5087,5;250;4837,5;NA;NA;4800;287,5
"70";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";74690;6075;68365;250;NA;73540;1150
"71";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";9295;NA;9295;NA;NA;9295;NA
"72";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";15515;12080;1100;2335;502,5;15012,5;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";6432,5;5795;450;187,5;247,5;5935;250
"74";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";400;400;NA;NA;NA;400;NA
"75";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";44542,5;33977,5;5115;5450;6740;36052,5;1750
"76";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";5220;4382,5;337,5;500;250;4720;250
"77";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01/04";6080;3912,5;175;1992,5;2267,5;3812,5;NA
"78";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/03/05/06";3700;2337,5;637,5;725;NA;2862,5;837,5
"79";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/05";12752,5;9192,5;475;3085;2120;10120;512,5
"80";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-04";2012,5;1062,5;250;700;225;1787,5;NA
"81";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";11432,5;8245;1687,5;1500;2332,5;9100;NA
"82";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05/06";2275;2087,5;NA;187,5;NA;2025;250
"83";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";8085;887,5;NA;7197,5;7197,5;887,5;NA
"84";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-02";612,5;250;250;112,5;362,5;250;NA
"85";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";305313,75;204150;52677,5;48486,25;24195;234918,75;46200
"86";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";34355;26287,5;7642,5;425;200;27017,5;7137,5
"87";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";1852,5;1690;162,5;NA;NA;1100;752,5
"88";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";43580;29845;1690;12045;3127,5;30880;9572,5
"89";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";2435;2160;NA;275;NA;1990;445
"90";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";20470;12670;907,5;6892,5;6657,5;11750;2062,5
"91";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";137,5;NA;NA;137,5;NA;137,5;NA
"92";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";987,5;287,5;550;150;NA;875;112,5
"93";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";2530;NA;2530;NA;87,5;2442,5;NA
"94";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";375;137,5;237,5;NA;NA;375;NA
"95";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";625;100;525;NA;NA;625;NA
"96";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03/04";187,5;NA;187,5;NA;NA;187,5;NA
"97";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";450;NA;450;NA;NA;450;NA
"98";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";30230;23705;3925;2600;1437,5;21760;7032,5
"99";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";225;125;NA;100;NA;225;NA
"100";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";212,5;NA;NA;212,5;NA;212,5;NA
"101";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";3105;2162,5;NA;942,5;NA;3105;NA
"102";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01/02";672,5;672,5;NA;NA;NA;672,5;NA
"103";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";975;225;250;500;250;725;NA
"104";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01/02";250;250;NA;NA;NA;250;NA
"105";"O3-C-1";250;NA;NA;250;250;NA;NA
"106";"T1";24330;15462,5;6262,5;2605;4650;19505;175
"107";"T1-C-10";487,5;237,5;250;NA;NA;487,5;NA
"108";"T1-C-12";225;NA;225;NA;NA;225;NA
"109";"T1-C-9";1337,5;937,5;400;NA;162,5;1175;NA
"110";"T12";250;NA;NA;250;250;NA;NA
"111";"T13";7062,5;4812,5;1525;725;200;6862,5;NA
"112";"T14";1900;NA;1900;NA;NA;1900;NA
"113";"T16-C-7";725;NA;725;NA;NA;725;NA
"114";"T17-C-1";145;145;NA;NA;NA;145;NA
"115";"T18";187,5;NA;187,5;NA;NA;187,5;NA
"116";"T19";1725;NA;1725;NA;NA;1725;NA
"117";"T2";6462,5;3050;NA;3412,5;4225;2237,5;NA
"118";"T2-C-5";150;150;NA;NA;NA;150;NA
"119";"T22";225;NA;225;NA;NA;225;NA
"120";"T25-C-2";512,5;512,5;NA;NA;NA;512,5;NA
"121";"T26";425;NA;425;NA;NA;425;NA
"122";"T27";3987,5;1362,5;2625;NA;NA;3987,5;NA
"123";"T29";250;250;NA;NA;NA;250;NA
"124";"T3";21812,5;11787,5;8525;1500;3500;18312,5;NA
"125";"T3-C-7";10602,5;2625;7977,5;NA;NA;9440;1162,5
"126";"T3-C-8";15692,5;4335;11357,5;NA;NA;15267,5;425
"127";"T3-C-9";7307,5;1625;5682,5;NA;NA;6450;857,5
"128";"T31";500;250;250;NA;NA;500;NA
"129";"T31-C-7";2725;2537,5;187,5;NA;NA;2362,5;362,5
"130";"T31-C-8";375;375;NA;NA;NA;237,5;137,5
"131";"T32";1962,5;1025;NA;937,5;NA;1712,5;250
"132";"T32-C-10";1225;1225;NA;NA;NA;1225;NA
"133";"T32-C-9";3280;2642,5;500;137,5;NA;3280;NA
"134";"T34";1137,5;387,5;NA;750;750;387,5;NA
"135";"T35";3112,5;1537,5;500;1075;400;2712,5;NA
"136";"T35-C-1";9727,5;3480;175;6072,5;937,5;8602,5;187,5
"137";"T35-C-2";12002,5;6402,5;100;5500;612,5;10627,5;762,5
"138";"T35-C-3";250;250;NA;NA;NA;250;NA
"139";"T36-C-1";8312,5;4675;100;3537,5;237,5;8075;NA
"140";"T36-C-2";212,5;212,5;NA;NA;NA;212,5;NA
"141";"T36-C-3";1662,5;662,5;1000;NA;NA;1662,5;NA
"142";"T37";162,5;NA;NA;162,5;162,5;NA;NA
"143";"T37-C-2";5725;2262,5;NA;3462,5;637,5;4812,5;275
"144";"T37-C-3";250;250;NA;NA;NA;250;NA
"145";"T38";1500;275;NA;1225;337,5;1162,5;NA
"146";"T38-C-1";19232,5;8425;237,5;10570;1482,5;17750;NA
"147";"T39";712,5;712,5;NA;NA;NA;712,5;NA
"148";"T39-C-1";350;200;NA;150;NA;350;NA
"149";"T39-C-2";400;NA;NA;400;NA;400;NA
"150";"T39-C-3";887,5;NA;887,5;NA;NA;887,5;NA
"151";"T39-C-4";3812,5;575;NA;3237,5;400;3225;187,5
"152";"T4";42287,5;22550;1250;18487,5;5675;33137,5;3475
"153";"T4-C-3";33522,5;17560;2062,5;13900;1962,5;29002,5;2557,5
"154";"T4-C-7";6690;2737,5;NA;3952,5;NA;6690;NA
"155";"T40";500;500;NA;NA;NA;NA;500
"156";"T40-C-1";1850;1137,5;NA;712,5;NA;1350;500
"157";"T41";1250;NA;NA;1250;NA;1250;NA
"158";"T41-C-1";7400;3162,5;NA;4237,5;875;6075;450
"159";"T42";245;NA;NA;245;NA;245;NA
"160";"T43";3000;300;NA;2700;500;2500;NA
"161";"T43-C-1";6032,5;787,5;NA;5245;950;4957,5;125
"162";"T44";14062,5;NA;NA;14062,5;4500;9562,5;NA
"163";"T44-C-1";15057,5;3175;NA;11882,5;1000;14057,5;NA
"164";"T45";2575;475;250;1850;1462,5;1112,5;NA
"165";"T45-C-1";12087,5;3687,5;NA;8400;1825;10050;212,5
"166";"T45-C-2";9650;5237,5;NA;4412,5;562,5;8975;112,5
"167";"T45-C-3";10537,5;1850;NA;8687,5;475;9937,5;125
"168";"T6";1150;NA;NA;1150;1150;NA;NA
"169";"T7";2575;1337,5;1237,5;NA;500;2075;NA
"170";"T7-C-11";825;NA;825;NA;NA;825;NA
"171";"T7-C-13";1285;NA;1285;NA;NA;1285;NA
"172";"T7-C-6";7327,5;290;7037,5;NA;NA;5590;1737,5
"173";"T7-C-7";3617,5;NA;3617,5;NA;NA;3167,5;450
"174";"V1";455;455;NA;NA;NA;455;NA
"175";"V1-C-4";8390;7440;950;NA;NA;6940;1450
"176";"V11-C-1";250;150;NA;100;100;150;NA
"177";"V12";225;225;NA;NA;NA;225;NA
"178";"V12-C-1";4975;2987,5;NA;1987,5;487,5;4487,5;NA
"179";"V12-C-2";400;225;NA;175;NA;400;NA
"180";"V12-C-3";500;NA;NA;500;NA;500;NA
"181";"V2";587,5;212,5;NA;375;NA;587,5;NA
"182";"V3";875;737,5;NA;137,5;137,5;737,5;NA
"183";"V6";187,5;NA;187,5;NA;NA;187,5;NA
"184";"V6-C-3";1985;95;1890;NA;NA;1985;NA
"185";"V9-C-3";2357,5;2357,5;NA;NA;NA;2357,5;NA
